Attacker No.,Database,Time Entered,Time Spent (S),Commands Run,Modification Attempts,Filename,Database (Avgs),Total # Attackers,# Relevant Attackers,Avg Time Connected,Avg Commands Run,Avg File Modifications
211,4,2022-10-21 01:18:52.514,-0.831,0,0,2022-10-21-1934_DATABASE_4_log,,,,,,
212,1,2022-10-21 01:18:08.304,-0.829,0,0,2022-10-21-1947_DATABASE_1_log,,,,,,
213,2,2022-10-21 01:20:46.351,-0.829,0,0,2022-10-21-1955_DATABASE_2_log,,,,,,
214,4,2022-10-21 01:26:27.837,-0.827,0,0,2022-10-21-1955_DATABASE_4_log,,,,,,
215,2,2022-10-21 01:26:27.839,-0.824,0,0,2022-10-21-2009_DATABASE_2_log,,,,,,
216,2,2022-10-21 01:26:27.840,-0.823,0,0,2022-10-21-2013_DATABASE_2_log,,,,,,
217,2,2022-10-21 01:26:27.841,-0.822,0,0,2022-10-21-2022_DATABASE_2_log,,,,,,
218,1,2022-10-21 01:26:27.841,0.231,0,0,2022-10-21-2030_DATABASE_1_log,,,,,,
219,1,2022-10-21 01:26:27.842,0.501,0,0,2022-10-21-2032_DATABASE_1_log,,,,,,
220,1,2022-10-21 01:26:27.842,-0.652,1,0,2022-10-21-2033_DATABASE_1_log,,,,,,
221,1,2022-10-21 01:26:27.843,-0.239,0,0,2022-10-21-2037_DATABASE_1_log,,,,,,
222,1,2022-10-21 01:26:27.843,0.035,0,0,2022-10-21-2038_DATABASE_1_log,,,,,,
223,4,2022-10-21 01:26:27.851,-0.717,0,0,2022-10-21-2039_DATABASE_4_log,,,,,,
224,1,2022-10-21 01:26:27.851,-0.232,0,0,2022-10-21-2040_DATABASE_1_log,,,,,,
225,1,2022-10-21 01:26:27.854,-0.182,3,0,2022-10-21-2042_DATABASE_1_log,,,,,,
226,1,2022-10-21 01:26:27.855,-0.126,0,0,2022-10-21-2044_DATABASE_1_log,,,,,,
227,2,2022-10-21 01:26:27.857,0.222,0,0,2022-10-21-2045_DATABASE_2_log,,,,,,
228,1,2022-10-21 01:26:27.857,0.062,0,0,2022-10-21-2054_DATABASE_1_log,,,,,,
229,3,2022-10-21 01:26:27.857,0.063,0,0,2022-10-21-2058_DATABASE_3_log,,,,,,
230,3,2022-10-21 01:26:27.859,-0.063,0,0,2022-10-21-2059_DATABASE_3_log,,,,,,
231,1,2022-10-21 01:26:27.859,0.163,0,0,2022-10-21-2112_DATABASE_1_log,,,,,,
232,2,2022-10-21 01:26:27.860,0.193,0,0,2022-10-21-2113_DATABASE_2_log,,,,,,
233,3,2022-10-21 01:26:29.981,0.204,0,0,2022-10-21-2113_DATABASE_3_log,,,,,,
234,4,2022-10-21 01:31:57.507,0.206,0,0,2022-10-21-2113_DATABASE_4_log,,,,,,
235,4,2022-10-21 01:31:57.521,0.207,0,0,2022-10-21-2118_DATABASE_4_log,,,,,,
236,3,2022-10-21 01:31:57.522,0.208,0,0,2022-10-21-2120_DATABASE_3_log,,,,,,
